,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted,Adopted_scored
1184,Dog,31,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,1,No,No
1185,Cat,2,Domestic Short Hair,Female,Golden,White,Medium,Short,No,No,Healthy,0,7,Yes,Yes
1186,Cat,12,Turkish Angora,Male,Brown,White,Large,Long,Yes,No,Healthy,200,4,No,Yes
1187,Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,1,Yes,Yes
1188,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,7,Yes,Yes
1189,Dog,3,Terrier,Male,Black,White,Medium,Short,No,No,Healthy,0,9,Yes,Yes
1190,Dog,60,Siberian Husky,Female,Black,Gray,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,Yes,Yes
1191,Cat,11,American Shorthair,Female,Black,Gray,Medium,Medium,Not Sure,No,Healthy,250,3,No,Yes
1192,Cat,6,Domestic Short Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,0,3,Yes,Yes
1193,Dog,48,Maltese,Female,White,No Color,Small,Long,Yes,No,Healthy,300,2,Yes,Yes
1194,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
1195,Cat,17,Domestic Medium Hair,Male,White,No Color,Medium,Medium,Yes,No,Minor Injury,50,3,Yes,Yes
1196,Dog,24,Mixed Breed,Female,Black,Cream,Medium,Short,Yes,Yes,Healthy,0,11,No,No
1197,Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,1,Yes,Yes
1198,Dog,5,Mixed Breed,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,3,Yes,Yes
1199,Dog,1,Labrador Retriever,Male,Black,White,Medium,Short,No,No,Healthy,0,2,Yes,Yes
1200,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
1201,Dog,3,Mixed Breed,Female,Black,Brown,Large,Short,Yes,Yes,Healthy,300,3,Yes,Yes
1202,Cat,3,Domestic Short Hair,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
1203,Dog,6,Mixed Breed,Male,Golden,Yellow,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
1204,Dog,41,Mixed Breed,Female,Black,Cream,Medium,Medium,Yes,Not Sure,Healthy,100,2,No,No
1205,Dog,36,Jack Russell Terrier,Female,Brown,White,Small,Medium,Not Sure,Not Sure,Healthy,0,5,Yes,Yes
1206,Dog,48,German Shepherd Dog,Female,Black,Brown,Large,Long,Yes,Yes,Healthy,0,3,Yes,Yes
1207,Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,150,5,Yes,Yes
1208,Dog,5,Mixed Breed,Male,Black,Brown,Large,Short,Yes,No,Healthy,0,8,Yes,Yes
1209,Dog,2,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
1210,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
1211,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Not Sure,Healthy,100,3,No,No
1212,Cat,1,Domestic Short Hair,Female,Brown,Yellow,Small,Short,No,No,Healthy,0,1,Yes,Yes
1213,Dog,24,Poodle,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,1,Yes,Yes
1214,Cat,3,Belgian Shepherd Laekenois,Female,Gray,No Color,Small,Short,No,No,Healthy,0,2,No,Yes
1215,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Minor Injury,0,2,Yes,Yes
1216,Cat,1,American Shorthair,Female,Brown,Golden,Small,Short,No,No,Healthy,0,1,No,No
1217,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,3,Yes,Yes
1218,Dog,0,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,1,No,No
1219,Dog,12,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,Yes,Healthy,0,2,No,No
1220,Cat,12,Applehead Siamese,Female,Black,Brown,Medium,Long,No,Yes,Healthy,300,3,Yes,Yes
1221,Dog,2,Mixed Breed,Female,Cream,White,Large,Short,Yes,No,Healthy,50,4,Yes,Yes
1222,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Short,Yes,No,Healthy,0,8,Yes,Yes
1223,Dog,2,Dalmatian,Female,Black,Brown,Medium,Short,No,No,Healthy,0,7,Yes,Yes
1224,Dog,24,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,100,1,No,No
1225,Dog,3,Mixed Breed,Female,Yellow,Cream,Medium,Short,Yes,No,Healthy,100,1,No,No
1226,Cat,3,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,No,Healthy,0,3,Yes,Yes
1227,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
1228,Cat,8,Calico,Female,Black,Golden,Small,Short,Yes,Yes,Minor Injury,0,1,Yes,Yes
1229,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,5,No,Yes
1230,Cat,4,Domestic Medium Hair,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,6,Yes,Yes
1231,Cat,2,Domestic Short Hair,Female,Golden,No Color,Small,Short,No,No,Healthy,0,1,Yes,Yes
1232,Dog,2,Mixed Breed,Male,Black,White,Medium,Short,No,No,Healthy,200,3,No,Yes
1233,Cat,4,Domestic Short Hair,Male,Black,Gray,Medium,Short,Yes,Yes,Healthy,0,14,Yes,Yes
1234,Cat,2,Oriental Long Hair,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
1235,Cat,11,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,3,Yes,Yes
1236,Cat,2,Domestic Short Hair,Male,Brown,White,Medium,Short,Not Sure,Not Sure,Healthy,0,7,Yes,Yes
1237,Cat,2,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,7,Yes,Yes
1238,Dog,24,Golden Retriever,Female,Golden,White,Medium,Short,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
1239,Dog,4,German Shepherd Dog,Male,Brown,No Color,Small,Medium,Not Sure,Not Sure,Healthy,150,0,No,No
1240,Cat,2,Domestic Short Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,8,No,Yes
1241,Cat,4,Domestic Short Hair,Female,Gray,No Color,Medium,Medium,Yes,No,Healthy,0,4,No,Yes
1242,Dog,6,Mixed Breed,Female,Black,Yellow,Medium,Short,Not Sure,Not Sure,Healthy,0,4,Yes,Yes
1243,Cat,2,Domestic Medium Hair,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
1244,Cat,6,Domestic Medium Hair,Male,Black,Gray,Medium,Medium,Yes,No,Healthy,0,4,Yes,Yes
1245,Dog,3,Mixed Breed,Female,Black,No Color,Small,Short,No,No,Healthy,0,1,Yes,Yes
1246,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
1247,Dog,18,Mixed Breed,Female,Brown,White,Small,Short,Yes,No,Healthy,0,5,No,Yes
1248,Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,1,No,Yes
1249,Cat,36,Domestic Medium Hair,Male,Black,Gray,Large,Medium,Yes,Yes,Healthy,0,4,No,Yes
1250,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,14,No,Yes
1251,Cat,4,Domestic Short Hair,Female,Black,Golden,Small,Short,No,No,Healthy,0,1,No,Yes
1252,Cat,3,American Shorthair,Female,Black,Golden,Medium,Short,No,No,Healthy,50,2,No,Yes
1253,Cat,3,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,8,Yes,Yes
1254,Cat,3,Domestic Short Hair,Female,Golden,Cream,Medium,Short,No,No,Healthy,0,4,Yes,Yes
1255,Dog,60,Shih Tzu,Male,Golden,Cream,Small,Medium,Not Sure,Yes,Healthy,0,13,Yes,Yes
1256,Cat,2,American Curl,Male,Cream,White,Large,Long,Not Sure,Not Sure,Healthy,350,2,Yes,Yes
1257,Dog,3,Mixed Breed,Male,Golden,Cream,Medium,Medium,No,No,Healthy,0,6,Yes,Yes
1258,Cat,4,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,2,Yes,Yes
1259,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,1,Yes,Yes
1260,Dog,51,Standard Poodle,Male,White,No Color,Large,Long,Yes,No,Healthy,0,1,Yes,Yes
1261,Cat,9,Domestic Short Hair,Female,Cream,White,Medium,Short,No,No,Healthy,0,4,Yes,Yes
1262,Cat,12,Domestic Short Hair,Male,Yellow,White,Large,Medium,No,No,Healthy,0,3,No,Yes
1263,Dog,84,Samoyed,Male,White,No Color,Large,Long,Yes,Not Sure,Minor Injury,280,2,Yes,Yes
1264,Dog,2,Mountain Dog,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,0,No,No
1265,Cat,4,Oriental Short Hair,Female,Black,No Color,Medium,Medium,No,No,Healthy,50,5,No,Yes
1266,Cat,3,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,300,4,Yes,Yes
1267,Dog,2,Mixed Breed,Male,Black,Brown,Small,Short,No,No,Healthy,150,4,Yes,Yes
1268,Cat,12,Domestic Short Hair,Female,Black,Yellow,Small,Short,Yes,Yes,Healthy,0,2,Yes,Yes
1269,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
1270,Dog,36,Cocker Spaniel,Female,Black,White,Small,Medium,Yes,Yes,Healthy,0,5,Yes,Yes
1271,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,3,No,No
1272,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,Not Sure,Healthy,0,1,No,Yes
1273,Cat,12,Domestic Medium Hair,Male,Yellow,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,No,No
1274,Cat,3,Domestic Short Hair,Female,Black,No Color,Small,Short,No,No,Healthy,0,2,Yes,Yes
1275,Dog,15,Shih Tzu,Female,White,No Color,Medium,Long,Yes,No,Healthy,0,5,Yes,Yes
1276,Cat,3,Domestic Short Hair,Female,Black,No Color,Small,Short,No,No,Healthy,0,1,Yes,Yes
1277,Dog,3,Mixed Breed,Female,White,No Color,Small,Short,Not Sure,Not Sure,Minor Injury,0,0,No,No
1278,Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,10,Yes,Yes
1279,Dog,6,Mixed Breed,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,2,Yes,No
1280,Cat,2,Tiger,Male,Yellow,No Color,Small,Short,Yes,Yes,Healthy,0,2,Yes,Yes
1281,Cat,36,Domestic Short Hair,Female,Gray,White,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
1282,Dog,12,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,1,No,No
1283,Dog,1,Coonhound,Female,Black,White,Medium,Short,Not Sure,No,Healthy,0,4,Yes,Yes
1284,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
1285,Cat,1,Domestic Medium Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1286,Dog,2,Labrador Retriever,Male,Brown,White,Medium,Medium,No,No,Healthy,0,2,No,Yes
1287,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,11,Yes,Yes
1288,Cat,120,Japanese Bobtail,Female,Brown,Cream,Medium,Medium,Not Sure,Yes,Healthy,0,4,No,No
1289,Dog,2,Mixed Breed,Male,Black,No Color,Large,Medium,Yes,No,Healthy,0,3,No,Yes
1290,Cat,2,Domestic Short Hair,Male,Black,Yellow,Medium,Medium,No,Not Sure,Healthy,0,0,No,No
1291,Cat,24,Siamese,Female,Brown,White,Small,Short,Not Sure,Yes,Healthy,50,3,Yes,Yes
1292,Cat,3,Domestic Short Hair,Female,Yellow,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
1293,Cat,11,Domestic Medium Hair,Female,Cream,White,Medium,Medium,Yes,No,Healthy,10,3,Yes,Yes
1294,Cat,4,Domestic Short Hair,Male,Gray,No Color,Medium,Short,Yes,No,Healthy,0,2,Yes,Yes
1295,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
1296,Cat,3,Abyssinian,Male,Gray,White,Small,Short,No,No,Healthy,0,3,Yes,Yes
1297,Dog,2,Mixed Breed,Female,Cream,White,Medium,Short,No,No,Healthy,0,1,No,Yes
1298,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,Yes,Yes
1299,Dog,48,German Shepherd Dog,Male,Black,Brown,Large,Medium,Yes,Yes,Healthy,0,1,Yes,Yes
1300,Dog,12,Poodle,Female,Black,No Color,Small,Medium,Not Sure,No,Healthy,1,1,Yes,Yes
1301,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1302,Cat,36,Domestic Medium Hair,Female,Gray,White,Medium,Medium,Yes,Yes,Healthy,0,3,Yes,Yes
1303,Dog,36,Collie,Male,Black,Brown,Large,Medium,Yes,Yes,Healthy,0,1,No,Yes
1304,Cat,2,Domestic Long Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,100,4,No,Yes
1305,Cat,1,Domestic Medium Hair,Male,Black,Yellow,Medium,Medium,No,No,Healthy,0,1,No,Yes
1306,Cat,12,Domestic Short Hair,Male,Brown,White,Medium,Medium,No,No,Healthy,0,0,No,No
1307,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes,Yes
1308,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,3,Yes,Yes
1309,Cat,8,Persian,Male,Golden,Yellow,Large,Medium,Yes,Yes,Healthy,0,3,Yes,Yes
1310,Cat,11,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,1,No,Yes
1311,Cat,2,Domestic Short Hair,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,7,Yes,Yes
1312,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,50,2,Yes,Yes
1313,Cat,1,Domestic Medium Hair,Female,Black,Yellow,Small,Medium,No,No,Healthy,0,4,Yes,Yes
1314,Cat,9,British Shorthair,Male,White,No Color,Large,Medium,No,No,Healthy,250,1,Yes,Yes
1315,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,1,No,Yes
1316,Dog,84,Bull Terrier,Female,White,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,1,No,No
1317,Cat,6,Domestic Short Hair,Female,Gray,No Color,Medium,Short,No,No,Healthy,0,3,Yes,Yes
1318,Dog,4,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,10,Yes,Yes
1319,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,2,No,Yes
1320,Cat,8,Calico,Female,Black,Brown,Small,Short,Not Sure,Yes,Healthy,0,5,No,Yes
1321,Cat,3,Domestic Medium Hair,Female,Brown,Golden,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
1322,Dog,36,Mixed Breed,Male,Brown,Yellow,Medium,Short,Not Sure,Not Sure,Healthy,0,5,Yes,No
1323,Dog,24,Mixed Breed,Female,Brown,Cream,Medium,Short,No,Yes,Healthy,0,2,No,No
1324,Dog,6,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,1,No,No
1325,Cat,24,Domestic Medium Hair,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
1326,Cat,12,Domestic Short Hair,Female,Yellow,No Color,Small,Short,Not Sure,Yes,Healthy,0,2,Yes,Yes
1327,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
1328,Cat,6,Domestic Long Hair,Male,Yellow,Cream,Medium,Medium,Not Sure,No,Healthy,30,2,Yes,Yes
1329,Dog,48,Poodle,Male,Cream,White,Small,Medium,Yes,Yes,Healthy,0,1,Yes,Yes
1330,Cat,4,Bobtail,Male,Yellow,No Color,Medium,Short,Not Sure,No,Healthy,0,2,Yes,Yes
1331,Cat,3,Domestic Short Hair,Male,Golden,White,Small,Short,Yes,No,Healthy,0,5,Yes,Yes
1332,Cat,2,Domestic Medium Hair,Male,White,No Color,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
1333,Dog,1,Mixed Breed,Female,White,No Color,Medium,Short,Yes,No,Healthy,0,2,Yes,Yes
1334,Dog,4,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,11,Yes,Yes
1335,Dog,65,Maltese,Female,White,No Color,Small,Medium,Yes,Not Sure,Healthy,0,1,Yes,Yes
1336,Dog,4,Mixed Breed,Female,Brown,White,Medium,Short,No,Yes,Healthy,150,6,Yes,Yes
1337,Cat,6,Domestic Medium Hair,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
1338,Dog,1,Siberian Husky,Male,Black,Cream,Small,Medium,No,No,Healthy,0,1,Yes,Yes
1339,Dog,3,Mixed Breed,Male,Black,Brown,Large,Short,Not Sure,Not Sure,Healthy,50,2,No,No
1340,Cat,34,Persian,Female,Cream,Gray,Small,Medium,Not Sure,Not Sure,Healthy,0,5,Yes,Yes
1341,Cat,12,Domestic Short Hair,Male,Black,White,Medium,Short,Not Sure,No,Healthy,50,1,No,No
1342,Cat,24,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,Yes,Healthy,0,4,No,No
1343,Cat,17,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,6,Yes,Yes
1344,Cat,14,Domestic Long Hair,Female,Golden,Cream,Medium,Long,No,No,Healthy,0,2,Yes,Yes
1345,Dog,2,Labrador Retriever,Male,Gray,White,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
1346,Dog,3,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,7,Yes,Yes
1347,Cat,36,Calico,Female,Black,Golden,Medium,Short,Yes,No,Healthy,100,5,No,Yes
1348,Cat,5,Domestic Medium Hair,Female,Gray,No Color,Medium,Medium,Yes,Not Sure,Healthy,0,1,No,Yes
1349,Dog,2,Mixed Breed,Female,Black,Yellow,Medium,Medium,No,No,Healthy,0,4,No,Yes
1350,Cat,1,Domestic Short Hair,Male,Golden,Yellow,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
1351,Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,No,No,Healthy,0,2,Yes,Yes
1352,Dog,84,American Staffordshire Terrier,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
1353,Cat,1,Domestic Medium Hair,Male,Black,White,Medium,Medium,No,No,Healthy,50,5,Yes,Yes
1354,Cat,1,Domestic Medium Hair,Male,Golden,Cream,Medium,Medium,No,No,Healthy,40,5,Yes,Yes
1355,Cat,12,Japanese Bobtail,Female,Black,White,Medium,Medium,Yes,Yes,Healthy,0,1,No,Yes
1356,Cat,5,Domestic Short Hair,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,1,Yes,Yes
1357,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1358,Dog,2,Mixed Breed,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,4,Yes,Yes
1359,Cat,21,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,2,Yes,No
1360,Dog,8,Mixed Breed,Male,Yellow,White,Large,Short,No,No,Healthy,0,1,No,No
1361,Cat,2,Domestic Short Hair,Female,Black,Cream,Small,Short,No,No,Healthy,0,5,Yes,Yes
1362,Cat,9,Siamese,Male,White,No Color,Medium,Short,Yes,No,Healthy,0,2,Yes,Yes
1363,Dog,8,Glen of Imaal Terrier,Female,Yellow,Cream,Medium,Long,Yes,No,Healthy,0,5,Yes,Yes
1364,Cat,3,Domestic Medium Hair,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
1365,Cat,60,Domestic Short Hair,Female,Gray,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
1366,Dog,4,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,5,Yes,Yes
1367,Dog,60,Miniature Pinscher,Male,Brown,No Color,Small,Short,Yes,No,Healthy,0,2,Yes,Yes
1368,Cat,2,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,1,Yes,Yes
1369,Cat,2,Domestic Short Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
1370,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
1371,Cat,36,Siamese,Male,Brown,White,Medium,Short,No,No,Healthy,0,1,Yes,Yes
1372,Dog,12,Mixed Breed,Female,Cream,White,Medium,Short,No,Yes,Healthy,0,8,Yes,Yes
1373,Dog,2,Mixed Breed,Female,Black,Yellow,Small,Long,No,No,Healthy,0,2,Yes,Yes
1374,Cat,24,Persian,Male,Golden,Yellow,Large,Long,Not Sure,Not Sure,Healthy,0,1,Yes,Yes
1375,Dog,4,Yorkshire Terrier Yorkie,Male,Black,Brown,Small,Long,Yes,No,Healthy,0,1,Yes,Yes
1376,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
1377,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes,No
1378,Dog,6,Poodle,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,150,3,Yes,Yes
1379,Dog,60,Silky Terrier,Female,Cream,No Color,Small,Long,Not Sure,Yes,Minor Injury,0,2,Yes,Yes
1380,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Not Sure,Not Sure,Healthy,0,7,Yes,Yes
1381,Cat,12,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,4,Yes,Yes
1382,Dog,24,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,7,No,No
1383,Dog,12,Mixed Breed,Male,Golden,Cream,Medium,Medium,No,No,Healthy,0,10,No,Yes
1384,Dog,96,Shih Tzu,Female,Brown,Yellow,Small,Long,Yes,Yes,Healthy,150,4,Yes,Yes
1385,Cat,3,Domestic Medium Hair,Male,Yellow,White,Small,Medium,Yes,No,Healthy,0,2,Yes,Yes
1386,Dog,41,English Cocker Spaniel,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,200,3,Yes,Yes
1387,Dog,12,Miniature Pinscher,Male,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,1,Yes,Yes
1388,Cat,2,Siamese,Female,Brown,Cream,Small,Medium,No,No,Healthy,100,18,Yes,Yes
1389,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
1390,Cat,3,Domestic Short Hair,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,0,No,No
1391,Cat,8,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,50,2,Yes,Yes
1392,Cat,12,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,2,No,No
1393,Cat,2,Domestic Medium Hair,Male,Gray,White,Small,Medium,No,No,Healthy,0,1,No,Yes
1394,Dog,1,Rottweiler,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
1395,Cat,1,Domestic Medium Hair,Male,Brown,No Color,Small,Medium,Yes,No,Healthy,0,6,Yes,Yes
1396,Cat,4,Domestic Short Hair,Male,Black,No Color,Medium,Short,Not Sure,No,Healthy,0,5,Yes,Yes
1397,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,Not Sure,Healthy,0,3,No,Yes
1398,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1399,Cat,4,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,4,No,Yes
1400,Cat,3,Domestic Short Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,0,11,Yes,Yes
1401,Cat,5,Tabby,Female,Yellow,No Color,Large,Long,No,No,Healthy,0,1,Yes,Yes
1402,Cat,3,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,No,Healthy,0,2,Yes,Yes
1403,Cat,1,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1404,Dog,132,Mixed Breed,Female,Black,No Color,Small,Short,Yes,No,Healthy,0,3,Yes,No
1405,Dog,6,Mixed Breed,Male,Brown,No Color,Small,Medium,Yes,No,Healthy,0,1,Yes,No
1406,Cat,36,Domestic Long Hair,Male,White,No Color,Medium,Long,No,No,Healthy,150,2,No,Yes
1407,Cat,6,Siberian,Male,White,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,0,Yes,Yes
1408,Cat,2,Domestic Short Hair,Male,Yellow,White,Medium,Short,No,No,Healthy,0,4,Yes,Yes
1409,Cat,4,Domestic Short Hair,Male,Yellow,White,Small,Short,No,No,Healthy,50,6,Yes,Yes
1410,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,6,Yes,Yes
1411,Dog,135,Schnauzer,Male,Gray,White,Small,Short,Not Sure,Not Sure,Minor Injury,0,0,Yes,Yes
1412,Dog,27,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,3,Yes,No
1413,Dog,3,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,3,Yes,Yes
1414,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,3,No,Yes
1415,Dog,12,Terrier,Female,Cream,No Color,Small,Long,Yes,Yes,Healthy,300,1,Yes,Yes
1416,Dog,12,Mixed Breed,Female,Cream,No Color,Large,Medium,Yes,Yes,Healthy,0,2,No,Yes
1417,Dog,6,Chihuahua,Female,Brown,No Color,Small,Short,Yes,No,Healthy,500,1,Yes,Yes
1418,Dog,2,Mixed Breed,Male,Black,Golden,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
1419,Dog,24,Beagle,Female,Black,Golden,Medium,Short,Not Sure,Not Sure,Minor Injury,0,1,Yes,Yes
1420,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1421,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,No,Yes
1422,Cat,5,Domestic Short Hair,Female,Gray,No Color,Medium,Short,No,No,Healthy,0,5,Yes,Yes
1423,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
1424,Dog,5,Border Collie,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
1425,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
1426,Dog,72,German Shepherd Dog,Male,Brown,Golden,Medium,Long,Yes,Yes,Healthy,0,5,Yes,Yes
